District,Type,2005,2015,2038,2050
80,Metropolitan,161.6652067,161.6652067,161.6652067,161.6652067
80,Rural,0,0,0,0
80,Town,0,0,0,0
81,Metropolitan,104.4588684,104.4588684,104.4588684,104.4588684
81,Rural,0,0,0,0
81,Town,0,0,0,0
82,Metropolitan,420.3995468,420.3995468,420.3995468,420.3995468
82,Rural,0,0,0,0
82,Town,0,0,0,0
83,Metropolitan,338.6265127,338.6265127,338.6265127,338.6265127
83,Rural,0,0,0,0
83,Town,0,0,0,0
84,Metropolitan,298.9363833,298.9363833,298.9363833,298.9363833
84,Rural,0,0,0,0
84,Town,0,0,0,0
85,Metropolitan,377.4261081,377.4261081,377.4261081,377.4261081
85,Rural,0,0,0,0
85,Town,0,0,0,0
86,Metropolitan,210.8227521,210.8227521,210.8227521,210.8227521
86,Rural,0,0,0,0
86,Town,0,0,0,0
87,Metropolitan,579.6929138,579.6929138,579.6929138,579.6929138
87,Rural,0,0,0,0
87,Town,0,0,0,0
88,Metropolitan,510.0253186,510.0253186,510.0253186,510.0253186
88,Rural,0,0,0,0
88,Town,0,0,0,0
89,Metropolitan,1042.326086,1042.326086,1042.326086,1042.326086
89,Rural,0,0,0,0
89,Town,0,0,0,0
90,Metropolitan,1124.501619,1124.501619,1124.501619,1124.501619
90,Rural,0,0,0,0
90,Town,0,0,0,0
91,Metropolitan,382.7305266,382.7305266,382.7305266,382.7305266
91,Rural,0,0,0,0
91,Town,0,0,0,0
92,Metropolitan,412.1084556,412.1084556,412.1084556,412.1084556
92,Rural,0,0,0,0
92,Town,0,0,0,0
93,Metropolitan,667.0798471,667.0798471,667.0798471,667.0798471
93,Rural,0,0,0,0
93,Town,0,0,0,0
94,Metropolitan,923.5804817,923.5804817,923.5804817,923.5804817
94,Rural,0,0,0,0
94,Town,0,0,0,0
95,Metropolitan,508.9568319,508.9568319,508.9568319,508.9568319
95,Rural,0,0,0,0
95,Town,0,0,0,0
96,Metropolitan,193.5934588,193.5934588,193.5934588,193.5934588
96,Rural,0,0,0,0
96,Town,0,0,0,0
97,Metropolitan,1605.493709,1605.493709,1605.493709,1605.493709
97,Rural,0,0,0,0
97,Town,0,0,0,0
98,Metropolitan,1454.759659,1454.759659,1454.759659,1454.759659
98,Rural,0,0,0,0
98,Town,0,0,0,0
99,Metropolitan,0,0,0,0
99,Rural,526.4617797,526.4617797,526.4617797,526.4617797
99,Town,0,0,0,0
100,Metropolitan,454.8077793,454.8077793,454.8077793,454.8077793
100,Rural,0,0,0,0
100,Town,0,0,0,0
101,Metropolitan,962.0913532,962.0913532,962.0913532,962.0913532
101,Rural,0,0,0,0
101,Town,0,0,0,0
102,Metropolitan,145.5985704,145.5985704,145.5985704,145.5985704
102,Rural,0,0,0,0
102,Town,0,0,0,0
103,Metropolitan,505.8902109,505.8902109,505.8902109,505.8902109
103,Rural,0,0,0,0
103,Town,0,0,0,0
104,Metropolitan,686.148129,686.148129,686.148129,686.148129
104,Rural,0,0,0,0
104,Town,0,0,0,0
105,Metropolitan,302.3641915,302.3641915,302.3641915,302.3641915
105,Rural,0,0,0,0
105,Town,0,0,0,0
106,Metropolitan,681.7967307,681.7967307,681.7967307,681.7967307
106,Rural,0,0,0,0
106,Town,0,0,0,0
107,Metropolitan,523.4376625,523.4376625,523.4376625,523.4376625
107,Rural,0,0,0,0
107,Town,0,0,0,0
108,Metropolitan,858.2527695,858.2527695,858.2527695,858.2527695
108,Rural,0,0,0,0
108,Town,0,0,0,0
109,Metropolitan,613.5283151,613.5283151,613.5283151,613.5283151
109,Rural,0,0,0,0
109,Town,0,0,0,0
110,Metropolitan,370.0131123,370.0131123,370.0131123,370.0131123
110,Rural,0,0,0,0
110,Town,0,0,0,0
111,Metropolitan,1099.918823,1099.918823,1099.918823,1099.918823
111,Rural,0,0,0,0
111,Town,0,0,0,0
112,Metropolitan,312.1025107,312.1025107,312.1025107,312.1025107
112,Rural,0,0,0,0
112,Town,0,0,0,0
113,Metropolitan,205.2013446,205.2013446,205.2013446,205.2013446
113,Rural,0,0,0,0
113,Town,0,0,0,0
114,Metropolitan,340.6618084,340.6618084,340.6618084,340.6618084
114,Rural,0,0,0,0
114,Town,0,0,0,0
115,Metropolitan,421.0756844,421.0756844,421.0756844,421.0756844
115,Rural,0,0,0,0
115,Town,0,0,0,0
116,Metropolitan,307.8389315,307.8389315,307.8389315,307.8389315
116,Rural,0,0,0,0
116,Town,0,0,0,0
117,Metropolitan,405.7404718,405.7404718,405.7404718,405.7404718
