"DvmtCapHousehold.06_06_EMED_NE",30.3047660930138,29.2629330793233,27.752038302964,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.07_07_PHX_Ctr",20.2181827398209,19.462591948392,19.7265934452984,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.08_08_TAL_Ctr",19.5497723451293,18.901605987342,19.231041039782,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.09_09_ASH_N",28.9689375928294,28.3545696756777,27.938101206795,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.10_10_TOLO",24.6333821207767,21.3828712871262,25.1796241857357,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.11_11_NMED_N",24.4074346405083,24.1956404637537,23.9266748835825,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.09_12_ASH_Ctr",21.2102082440743,17.911733746444,17.1110991877246,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.03_13_CP_E",21.8492840815931,20.5615713307139,22.0109215006469,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.05_14_WMED_SE",23.0504363414091,21.7276965557241,23.4821030169988,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.05_15_WMED_E",8.47633383095586,12.5356859812174,10.0047271079308,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.06_16_EMED_NW",15.0207320460767,17.0316217983309,15.8859519740683,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.06_17_EMED_SW",25.1121483996541,25.3497717847633,25.4985131739589,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.11_18_NMED_SW",19.6575719943656,20.1508888870843,19.5783280460528,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.09_19_ASH_SW",27.5386212799551,26.7005049345188,26.4314974251627,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.06_20_EMED_N",24.143877255994,23.0077087418295,24.1342199812068,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.01_21_EP_SE",23.2247330119282,22.8793902248354,23.2288906760683,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.02_22_WC_S",16.2521246341243,20.4803031691146,18.225750002705,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.06_23_EMED_Ctr",28.1401324298154,29.7547494737528,28.181193854584,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.03_24_CP_N",20.1309198125011,19.9313701400319,20.9597373260468,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.03_25_CP_S",19.4713895615095,18.4332430930731,20.1335821367669,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.05_26_WMED_NW",27.5456953774783,25.9359121859711,27.2466827668718,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.05_27_WMED_Ctr",18.7390883472762,19.9278703739585,19.1935178800502,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.06_28_EMED_SE",32.4827947294197,32.1826339387409,29.1568809903219,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.07_29_PHX_W",27.8305198953969,26.2316201823073,27.6190106150116,"Average Percapita DVMT of MPO households"
