Value,Area,2005,2015,2038,2050,CostDataYear
PkgCost,D191,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D192,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D2,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D21,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D22,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D23,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D24,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D3,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D31,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D32,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D33,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D34,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D35,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D36,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D4,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D41,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D43,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D44,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D45,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D46,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D47,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D48,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D49,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D5,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D51,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D52,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D6,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D61,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D62,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D7,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D71,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D72,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D73,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D74,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D75,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D76,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D8,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D81,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D82,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D83,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D9,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D91,2.345557492,2.345557492,5.228949822,5.228949822,2015
PkgCost,D92,2.345557492,2.345557492,5.228949822,5.228949822,2015
PropCashOut,D1,0,0,0,0,2015
PropCashOut,D10,0,0,0,0,2015
PropCashOut,D101,0,0,0,0,2015
PropCashOut,D102,0,0,0,0,2015
PropCashOut,D11,0,0,0,0,2015
PropCashOut,D111,0,0,0,0,2015
PropCashOut,D112,0,0,0,0,2015
PropCashOut,D113,0,0,0,0,2015
PropCashOut,D114,0,0,0,0,2015
PropCashOut,D12,0,0,0,0,2015
PropCashOut,D121,0,0,0,0,2015
PropCashOut,D122,0,0,0,0,2015
PropCashOut,D123,0,0,0,0,2015
PropCashOut,D124,0,0,0,0,2015
PropCashOut,D131,0,0,0,0,2015
PropCashOut,D132,0,0,0,0,2015
PropCashOut,D133,0,0,0,0,2015
PropCashOut,D134,0,0,0,0,2015
PropCashOut,D141,0,0,0,0,2015
PropCashOut,D142,0,0,0,0,2015
PropCashOut,D143,0,0,0,0,2015
PropCashOut,D15,0,0,0,0,2015
PropCashOut,D151,0,0,0,0,2015
PropCashOut,D152,0,0,0,0,2015
PropCashOut,D153,0,0,0,0,2015
PropCashOut,D16,0,0,0,0,2015
PropCashOut,D163,0,0,0,0,2015
PropCashOut,D164,0,0,0,0,2015
PropCashOut,D17,0,0,0,0,2015
PropCashOut,D171,0,0,0,0,2015
PropCashOut,D172,0,0,0,0,2015
PropCashOut,D173,0,0,0,0,2015
PropCashOut,D18,0,0,0,0,2015
PropCashOut,D181,0,0,0,0,2015
PropCashOut,D182,0,0,0,0,2015
PropCashOut,D191,0,0,0,0,2015
PropCashOut,D192,0,0,0,0,2015
PropCashOut,D2,0,0,0,0,2015
PropCashOut,D21,0,0,0,0,2015
PropCashOut,D22,0,0,0,0,2015
PropCashOut,D23,0,0,0,0,2015
PropCashOut,D24,0,0,0,0,2015
PropCashOut,D3,0,0,0,0,2015
PropCashOut,D31,0,0,0,0,2015
PropCashOut,D32,0,0,0,0,2015
PropCashOut,D33,0,0,0,0,2015
PropCashOut,D34,0,0,0,0,2015
PropCashOut,D35,0,0,0,0,2015
PropCashOut,D36,0,0,0,0,2015
PropCashOut,D4,0,0,0,0,2015
PropCashOut,D41,0,0,0,0,2015
PropCashOut,D43,0,0,0,0,2015
PropCashOut,D44,0,0,0,0,2015
PropCashOut,D45,0,0,0,0,2015
PropCashOut,D46,0,0,0,0,2015
PropCashOut,D47,0,0,0,0,2015
PropCashOut,D48,0,0,0,0,2015
PropCashOut,D49,0,0,0,0,2015
PropCashOut,D5,0,0,0,0,2015
PropCashOut,D51,0,0,0,0,2015
PropCashOut,D52,0,0,0,0,2015
PropCashOut,D6,0,0,0,0,2015
PropCashOut,D61,0,0,0,0,2015
PropCashOut,D62,0,0,0,0,2015
PropCashOut,D7,0,0,0,0,2015
PropCashOut,D71,0,0,0,0,2015
PropCashOut,D72,0,0,0,0,2015
PropCashOut,D73,0,0,0,0,2015
PropCashOut,D74,0,0,0,0,2015
PropCashOut,D75,0,0,0,0,2015
PropCashOut,D76,0,0,0,0,2015
PropCashOut,D8,0,0,0,0,2015
PropCashOut,D81,0,0,0,0,2015
PropCashOut,D82,0,0,0,0,2015
PropCashOut,D83,0,0,0,0,2015
PropCashOut,D9,0,0,0,0,2015
PropCashOut,D91,0,0,0,0,2015
PropCashOut,D92,0,0,0,0,2015
PropOthChrgd,D1,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D10,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D101,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D102,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D11,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D111,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D112,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D113,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D114,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D12,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D121,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D122,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D123,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D124,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D131,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D132,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D133,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D134,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D141,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D142,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D143,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D15,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D151,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D152,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D153,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D16,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D163,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D164,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D17,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D171,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D172,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D173,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D18,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D181,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D182,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D191,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D192,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D2,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D21,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D22,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D23,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D24,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D3,0.074699283,0.002838573,0.002838573,0.149398566,2015
