District,OwnRatio-2005,OwnRatio-2015,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2015,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2015,PropSuitable-2038,PropSuitable-2050
199,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
200,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
201,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
202,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
203,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
204,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
205,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
206,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
207,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
208,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
209,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
210,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
211,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
212,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
213,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
214,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
215,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
216,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
217,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
218,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
219,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
220,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
221,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
222,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
223,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
224,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
225,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
226,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
227,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
228,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
229,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
230,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
231,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
232,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
233,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
234,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
235,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
236,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
237,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
238,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
239,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
240,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
241,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
242,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
243,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
244,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
245,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
246,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
247,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
248,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
249,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
250,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
251,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
252,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
253,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
254,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
255,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
256,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
257,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
258,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
259,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
260,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
261,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
262,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
263,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
264,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
265,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
266,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
267,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
268,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
269,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
270,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
271,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
272,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
273,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
274,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
275,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
276,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
277,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
278,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
279,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
280,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
281,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
282,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
283,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
284,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
285,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
286,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
287,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
288,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
289,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
290,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
291,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
292,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
293,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
294,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
295,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
296,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
297,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
298,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
299,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
300,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
301,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
302,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
303,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
304,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
305,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
306,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
307,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
308,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
309,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
310,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
311,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
312,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
313,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
314,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
315,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
316,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
317,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
318,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
319,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
320,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
321,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
322,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
323,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
324,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
325,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
326,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
327,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
328,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
329,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
330,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
331,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
332,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
333,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
334,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
335,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
336,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
337,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
