District,Type,A24,A5P,MH,SFA,SFD,GQ
22,Metropolitan,0,0,0,0,20,0
22,Rural,2,40,0,15,191,0
22,Town,0,0,0,0,0,0
23,Metropolitan,0,0,0,0,20,0
23,Rural,1,9,0,4,31,0
23,Town,0,0,0,0,0,0
24,Metropolitan,0,19,0,16,42,0
24,Rural,0,0,0,0,0,0
24,Town,0,0,0,0,0,0
25,Metropolitan,5,50,0,15,133,0
25,Rural,0,0,0,0,0,0
25,Town,0,0,0,0,0,0
26,Metropolitan,6,78,0,32,465,0
26,Rural,0,0,0,0,0,0
26,Town,0,0,0,0,0,0
27,Metropolitan,4,46,0,18,269,0
27,Rural,0,0,0,0,0,0
27,Town,0,0,0,0,0,0
28,Metropolitan,0,0,0,0,20,0
28,Rural,1,24,0,8,169,0
28,Town,0,0,0,0,0,0
29,Metropolitan,0,0,0,0,20,0
29,Rural,1,9,0,4,21,0
29,Town,0,0,0,0,0,0
30,Metropolitan,0,0,0,0,20,0
30,Rural,12,100,0,40,443,0
30,Town,0,0,0,0,0,0
31,Metropolitan,0,0,0,0,20,0
31,Rural,2,33,0,13,170,0
31,Town,0,0,0,0,0,0
32,Metropolitan,0,0,0,0,20,0
32,Rural,6,93,0,41,460,0
32,Town,0,0,0,0,0,0
33,Metropolitan,0,0,0,0,20,0
33,Rural,4,38,0,15,127,0
33,Town,0,0,0,0,0,0
34,Metropolitan,0,0,0,0,20,0
34,Rural,3,39,0,12,223,0
34,Town,0,0,0,0,0,0
35,Metropolitan,2,41,0,11,239,0
35,Rural,0,0,0,0,0,0
35,Town,0,0,0,0,0,0
36,Metropolitan,0,0,0,0,20,0
36,Rural,5,58,0,18,263,0
36,Town,0,0,0,0,0,0
37,Metropolitan,0,0,0,0,20,0
37,Rural,0,7,0,2,32,0
37,Town,0,0,0,0,0,0
38,Metropolitan,2,52,0,27,457,0
38,Rural,0,0,0,0,0,0
38,Town,0,0,0,0,0,0
39,Metropolitan,3,59,0,28,443,0
39,Rural,0,0,0,0,0,0
39,Town,0,0,0,0,0,0
40,Metropolitan,0,0,0,0,20,0
40,Rural,6,86,0,40,299,0
40,Town,0,0,0,0,0,0
41,Metropolitan,23,233,1,114,565,0
41,Rural,0,0,0,0,0,0
41,Town,0,0,0,0,0,0
42,Metropolitan,0,1,0,1,20,0
42,Rural,0,0,0,0,0,0
42,Town,0,0,0,0,0,0
43,Metropolitan,3,13,0,3,55,0
43,Rural,0,0,0,0,0,0
43,Town,0,0,0,0,0,0
44,Metropolitan,3,31,0,16,93,0
44,Rural,0,0,0,0,0,0
44,Town,0,0,0,0,0,0
45,Metropolitan,10,133,0,62,470,0
45,Rural,0,0,0,0,0,0
45,Town,0,0,0,0,0,0
46,Metropolitan,5,60,0,26,86,0
46,Rural,0,0,0,0,0,0
46,Town,0,0,0,0,0,0
47,Metropolitan,1,3,0,1,20,0
47,Rural,0,0,0,0,0,0
47,Town,0,0,0,0,0,0
48,Metropolitan,18,181,0,104,682,0
48,Rural,0,0,0,0,0,0
48,Town,0,0,0,0,0,0
49,Metropolitan,0,0,0,0,20,0
49,Rural,3,20,0,10,67,0
49,Town,0,0,0,0,0,0
50,Metropolitan,0,0,0,0,20,0
50,Rural,7,87,0,40,321,0
50,Town,0,0,0,0,0,0
51,Metropolitan,3,37,0,16,111,0
51,Rural,0,0,0,0,0,0
51,Town,0,0,0,0,0,0
52,Metropolitan,18,167,2,95,799,0
52,Rural,0,0,0,0,0,0
52,Town,0,0,0,0,0,0
53,Metropolitan,31,294,3,174,895,0
53,Rural,0,0,0,0,0,0
53,Town,0,0,0,0,0,0
54,Metropolitan,5,35,0,13,29,0
54,Rural,0,0,0,0,0,0
54,Town,0,0,0,0,0,0
55,Metropolitan,16,176,0,85,555,0
55,Rural,0,0,0,0,0,0
55,Town,0,0,0,0,0,0
56,Metropolitan,10,116,0,60,296,0
56,Rural,0,0,0,0,0,0
56,Town,0,0,0,0,0,0
57,Metropolitan,1,11,0,4,16,0
