District,Type,A24,A5P,MH,SFA,SFD,GQ
47,Metropolitan,0,1,0,1,10,0
47,Rural,0,0,0,0,0,0
47,Town,0,0,0,0,0,0
48,Metropolitan,1,162,2,90,581,0
48,Rural,0,0,0,0,0,0
48,Town,0,0,0,0,0,0
49,Metropolitan,0,0,0,0,0,0
49,Rural,0,20,0,5,39,0
49,Town,0,0,0,0,0,0
50,Metropolitan,0,0,0,0,0,0
50,Rural,1,75,0,26,190,0
50,Town,0,0,0,0,0,0
51,Metropolitan,0,0,0,0,0,0
51,Rural,0,23,0,9,55,0
51,Town,0,0,0,0,0,0
52,Metropolitan,2,139,1,65,660,0
52,Rural,0,0,0,0,0,0
52,Town,0,0,0,0,0,0
53,Metropolitan,2,270,3,149,744,0
53,Rural,0,0,0,0,0,0
53,Town,0,0,0,0,0,0
54,Metropolitan,0,4,0,2,10,0
54,Rural,0,0,0,0,0,0
54,Town,0,0,0,0,0,0
55,Metropolitan,0,174,1,77,425,0
55,Rural,0,0,0,0,0,0
55,Town,0,0,0,0,0,0
56,Metropolitan,0,114,0,49,211,0
56,Rural,0,0,0,0,0,0
56,Town,0,0,0,0,0,0
57,Metropolitan,0,11,0,2,11,0
57,Rural,0,0,0,0,0,0
57,Town,0,0,0,0,0,0
58,Metropolitan,0,164,1,63,191,0
58,Rural,0,0,0,0,0,0
58,Town,0,0,0,0,0,0
59,Metropolitan,0,0,0,0,10,0
59,Rural,0,0,0,0,0,0
59,Town,0,0,0,0,0,0
60,Metropolitan,0,3,0,0,10,0
60,Rural,0,0,0,0,0,0
60,Town,0,0,0,0,0,0
61,Metropolitan,0,179,1,66,321,0
61,Rural,0,0,0,0,0,0
61,Town,0,0,0,0,0,0
62,Metropolitan,0,135,1,49,302,0
62,Rural,0,0,0,0,0,0
62,Town,0,0,0,0,0,0
63,Metropolitan,0,88,0,30,114,0
63,Rural,0,0,0,0,0,0
63,Town,0,0,0,0,0,0
64,Metropolitan,0,1,0,0,10,0
64,Rural,0,0,0,0,0,0
64,Town,0,0,0,0,0,0
65,Metropolitan,0,0,0,0,10,0
65,Rural,0,0,0,0,0,0
65,Town,0,0,0,0,0,0
66,Metropolitan,0,0,0,0,10,0
66,Rural,0,0,0,0,0,0
66,Town,0,0,0,0,0,0
67,Metropolitan,0,0,0,0,10,0
67,Rural,0,0,0,0,0,0
67,Town,0,0,0,0,0,0
68,Metropolitan,0,94,0,40,134,0
68,Rural,0,0,0,0,0,0
68,Town,0,0,0,0,0,0
69,Metropolitan,0,2,0,2,10,0
69,Rural,0,0,0,0,0,0
69,Town,0,0,0,0,0,0
70,Metropolitan,0,64,0,22,72,0
70,Rural,0,0,0,0,0,0
70,Town,0,0,0,0,0,0
71,Metropolitan,0,229,3,101,333,0
71,Rural,0,0,0,0,0,0
71,Town,0,0,0,0,0,0
72,Metropolitan,0,34,0,7,27,0
72,Rural,0,0,0,0,0,0
72,Town,0,0,0,0,0,0
73,Metropolitan,0,237,1,101,317,0
73,Rural,0,0,0,0,0,0
73,Town,0,0,0,0,0,0
74,Metropolitan,0,0,0,0,10,0
74,Rural,0,0,0,0,0,0
74,Town,0,0,0,0,0,0
75,Metropolitan,2,256,2,139,521,0
75,Rural,0,0,0,0,0,0
75,Town,0,0,0,0,0,0
76,Metropolitan,0,0,0,0,10,0
76,Rural,0,0,0,0,0,0
76,Town,0,0,0,0,0,0
77,Metropolitan,3,383,2,210,854,0
77,Rural,0,0,0,0,0,0
77,Town,0,0,0,0,0,0
78,Metropolitan,0,0,0,0,10,0
78,Rural,0,0,0,0,0,0
78,Town,0,0,0,0,0,0
79,Metropolitan,0,33,0,13,77,0
79,Rural,0,0,0,0,0,0
79,Town,0,0,0,0,0,0
80,Metropolitan,0,0,0,0,10,0
80,Rural,0,0,0,0,0,0
80,Town,0,0,0,0,0,0
81,Metropolitan,0,174,0,86,326,0
81,Rural,0,0,0,0,0,0
81,Town,0,0,0,0,0,0
82,Metropolitan,2,508,2,291,942,0
82,Rural,0,0,0,0,0,0
82,Town,0,0,0,0,0,0
83,Metropolitan,1,169,0,73,431,0
83,Rural,0,0,0,0,0,0
83,Town,0,0,0,0,0,0
84,Metropolitan,8,433,1,246,906,0
84,Rural,0,0,0,0,0,0
84,Town,0,0,0,0,0,0
85,Metropolitan,0,0,0,0,10,0
85,Rural,0,0,0,0,0,0
85,Town,0,0,0,0,0,0
86,Metropolitan,0,2,0,1,10,0
86,Rural,0,0,0,0,0,0
86,Town,0,0,0,0,0,0
87,Metropolitan,1,108,0,39,197,0
87,Rural,0,0,0,0,0,0
87,Town,0,0,0,0,0,0
88,Metropolitan,1,151,1,70,527,0
88,Rural,0,0,0,0,0,0
88,Town,0,0,0,0,0,0
89,Metropolitan,3,185,0,115,1027,0
89,Rural,0,0,0,0,0,0
89,Town,0,0,0,0,0,0
90,Metropolitan,3,205,0,133,1007,0
90,Rural,0,0,0,0,0,0
90,Town,0,0,0,0,0,0
